"2016 - 07"	57430.1693194925
"2016 - 07"	52278.0850082675
"2016 - 09"	52460.93573264781
"2016 - 09"	52813.61040876528
"2016 - 09"	51816.89199289843
"2016 - 09"	52370.093145439314
"2016 - 09"	52347.004545043645
"2016 - 10"	48981.5080093737
"2016 - 10"	51304.58623878757
"2016 - 10"	51939.38995568686
"2016 - 10"	51478.29051569415
"2016 - 10"	51391.88135074206
"2016 - 10"	51448.57329239826
"2016 - 12"	41490.33432097713
"2016 - 12"	41648.622863048186
"2016 - 12"	41599.98878042735
"2016 - 12"	41609.23454884691
"2016 - 12"	41607.842570640525
"2017 - 02"	42499.241049324926
"2017 - 02"	42400.737686068554
"2017 - 02"	42397.07714642675
"2017 - 02"	42405.956259065475
"2017 - 02"	42434.93197246925
"2017 - 04"	45077.56533222542
"2017 - 04"	44793.6045973068
"2017 - 04"	44809.601602622475
"2017 - 04"	44675.78747248753
"2017 - 04"	44681.36493160477
"2017 - 04"	44630.992709811886
"2017 - 04"	44568.174905784945
"2017 - 06"	46769.946667567936
"2017 - 06"	47667.133813600616
"2017 - 06"	47772.830096306345
"2017 - 06"	47550.290397099736
"2017 - 06"	47959.34267484049
"2017 - 06"	47996.16909095798
"2017 - 06"	48317.29613744132
"2017 - 06"	48359.98464962775
"2017 - 06"	48645.81223517213
"2017 - 06"	49015.488276287615
"2017 - 06"	49167.41137943775
"2017 - 06"	49229.33185549191
"2017 - 06"	49295.72746749461
"2017 - 06"	49411.42794292128
"2017 - 06"	49440.12572940857
"2017 - 06"	49490.403174690815
"2017 - 06"	49316.29042049456
"2017 - 06"	49358.564470711426
"2017 - 06"	49371.213371560974
"2017 - 06"	49434.20644714127
"2017 - 06"	49473.46434380411
"2017 - 06"	49483.93133621022
"2017 - 08"	60159.45517241379
"2017 - 08"	58938.74698148645
"2017 - 08"	59645.539781591266
"2017 - 08"	59149.572283936024
"2017 - 08"	58555.44711149804
"2017 - 08"	58688.72698602577
"2017 - 08"	58090.82058918744
"2017 - 08"	58430.712972577974
"2017 - 08"	60132.647642502765
"2017 - 08"	59745.72499064539
"2017 - 08"	59549.595954408636
"2017 - 08"	59411.88483811529
"2017 - 08"	59228.16550141882
"2017 - 08"	59641.025945749796
"2017 - 08"	59547.93332118783
"2017 - 08"	63548.12367177373
"2017 - 08"	63382.6493953093
"2017 - 08"	63119.283451490206
"2017 - 08"	62670.63896521681
"2017 - 08"	62440.974017353
"2017 - 08"	62372.0602425998
"2017 - 08"	62219.52507771945
"2017 - 08"	62069.845509526305
"2017 - 08"	61916.95427576985
"2017 - 08"	61873.67016698227
"2017 - 08"	63092.39153549848
"2017 - 08"	64869.938067874566
"2017 - 08"	64678.20006932809
"2017 - 08"	64539.49696925681
"2017 - 08"	64145.79496573287
"2017 - 11"	70410.86456771614
"2017 - 11"	71546.07808340728
"2017 - 11"	72498.61011106856
"2017 - 11"	73809.3139998229
"2017 - 11"	73666.86775949203
"2017 - 11"	73528.65706697218
"2017 - 11"	72706.525987526
"2017 - 11"	73595.572521794
"2017 - 11"	72985.43908959792
"2017 - 11"	73455.19693599423
"2017 - 11"	73886.23424009964
"2017 - 11"	73671.96679997949
"2017 - 11"	73405.45019636664
"2017 - 11"	73327.45875345671
"2017 - 11"	73899.19757694304
"2017 - 11"	73898.28682472544
"2017 - 11"	74062.81377752089
"2017 - 11"	74002.58399793772
"2017 - 11"	73844.75305649725
"2017 - 11"	73148.8511940598
"2017 - 11"	73000.66884662745
"2017 - 11"	72889.57599347184
"2017 - 11"	73276.29506688548
"2017 - 11"	73318.83991674101
"2017 - 11"	73262.01498678314
"2017 - 11"	73373.69008442787
"2017 - 11"	73432.99366456195
"2017 - 11"	73046.2590353542
"2017 - 11"	73130.96527364446
"2017 - 11"	73081.11361165048
"2017 - 11"	73214.76221252308
"2017 - 11"	73061.88443260369
"2017 - 11"	73050.34724250644
"2017 - 11"	73168.77229524772
"2017 - 11"	72844.09820605487
"2017 - 11"	72726.44364656648
"2017 - 11"	72727.75522282517
"2017 - 11"	72758.70761613711
"2017 - 11"	72756.88175641194
"2017 - 11"	72785.19861482519
"2017 - 11"	72494.4335557084
"2017 - 11"	72509.72733865607
"2017 - 11"	72634.86640701708
"2017 - 11"	72731.85580474262
"2017 - 11"	72643.24590356965
"2017 - 11"	72665.97184510251
"2017 - 11"	72566.22589037997
"2017 - 11"	72559.2828759592
"2017 - 11"	72510.96668034095
"2017 - 11"	72590.7980925472
"2018 - 01"	40664.1394891945
"2018 - 01"	41609.70210378682
"2018 - 01"	41759.29205331534
"2018 - 01"	41999.70812650688
"2018 - 01"	42078.87963376507
"2018 - 01"	42200.004298764106
"2018 - 01"	42153.6066831881
"2018 - 01"	42449.31781987919
"2018 - 01"	42465.865608402455
"2018 - 01"	42451.83512429832
"2018 - 01"	42453.531536752635
"2018 - 01"	42405.1979947651
"2018 - 01"	42482.397332023895
"2018 - 01"	42507.79344535271
"2018 - 01"	42510.70279878971
"2018 - 01"	42732.16136556404
"2018 - 01"	43145.22313584493
"2018 - 01"	43504.2667134585
"2018 - 01"	43401.107908149286
"2018 - 01"	43368.01536238497
"2018 - 01"	43471.79685964281
"2018 - 01"	43402.052696160456
"2018 - 01"	43353.02954434827
"2018 - 01"	43346.53141648542
"2018 - 01"	43292.21279330788
"2018 - 01"	43199.39336365107
"2018 - 01"	43204.89860879435
"2018 - 01"	43339.08589056402
"2018 - 01"	43262.19148574782
"2018 - 01"	43215.015031247225
"2018 - 01"	43249.206206177616
"2018 - 01"	43293.57074476941
